Epoch,Train Loss,Validation Loss
1,1.0281723737716675,0.9479624032974243
2,0.862829864025116,0.924601674079895
3,0.7899051904678345,0.9360445737838745
4,0.7320636510848999,0.9489773511886597
5,0.682137131690979,0.9764654040336609
6,0.5839923024177551,1.0153340101242065
7,0.5410875082015991,1.0618003606796265
8,0.5082368850708008,1.096321702003479
9,0.44737303256988525,1.1484547853469849
10,0.42190539836883545,1.184943675994873
11,0.4019247889518738,1.2143440246582031
12,0.36811134219169617,1.2592966556549072

Training Summary
Timestamp,2026-07-18 10:44:02
Training Duration,1h 33m 9s
